year,top_charge,indicator,disposition,white_n,white_perc,black_n,black_perc,hispanic_n,hispanic_perc,other_n,other_perc,total_n,total_perc
2016,Felony,Overall,Total Dispositions,1511,1,1484,1,254,1,97,1,3346,1
2016,Felony,Overall,Convicted-Sentenced,1061,0.7021839841164791,1001,0.6745283018867925,177,0.6968503937007874,69,0.711340206185567,2308,0.6897788404064555
2016,Felony,Overall,Diverted and Dismissed,7,0.004632693580410324,0,0,0,0,0,0,7,0.0020920502092050207
2016,Felony,Overall,Covered by Another Case,188,0.12442091330244871,142,0.09568733153638814,19,0.07480314960629922,10,0.10309278350515465,359,0.1072922893006575
2016,Felony,Overall,Dismissed-ACD,153,0.10125744540039708,121,0.08153638814016173,21,0.0826771653543307,13,0.13402061855670103,308,0.09205020920502091
2016,Felony,Overall,Dismissed-Not ACD,78,0.051621442753143613,194,0.1307277628032345,33,0.12992125984251968,4,0.04123711340206185,309,0.09234907352062165
2016,Felony,Overall,Acquitted,6,0.003970880211780278,9,0.006064690026954178,1,0.003937007874015748,0,0,16,0.004781829049611476
2016,Felony,Overall,DA Declined to Prosecute,1,6.618133686300463e-4,0,0,0,0,0,0,1,2.9886431560071725e-4
2016,Felony,Overall,Other,17,0.011250827266710789,17,0.011455525606469003,3,0.011811023622047244,1,0.010309278350515462,38,0.011356843992827256
2016,Felony,Adult Non-YO Convictions,Felonies,362,0.23957643944407678,380,0.25606469002695414,86,0.3385826771653543,23,0.2371134020618557,851,0.2543335325762104
2016,Felony,Adult Non-YO Convictions,Misdemeanors,536,0.35473196558570486,433,0.2917789757412399,63,0.2480314960629921,32,0.3298969072164948,1064,0.3179916317991632
2016,Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,129,0.08537392455327598,96,0.0646900269541779,14,0.05511811023622047,10,0.10309278350515465,249,0.0744172145845786
2016,Felony,Youthful Offender Adjudications,Felonies,13,0.008603573792190601,57,0.03840970350404313,8,0.031496062992125984,3,0.030927835051546393,81,0.0242080095636581
2016,Felony,Youthful Offender Adjudications,Misdemeanors,21,0.013898080741230974,35,0.02358490566037736,6,0.023622047244094488,1,0.010309278350515462,63,0.01882845188284519
2016,Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2016,Felony,Sentences,Prison,155,0.10258107213765719,237,0.1597035040431267,62,0.24409448818897636,12,0.12371134020618557,466,0.13927077106993424
2016,Felony,Sentences,Jail,134,0.08868299139642621,167,0.11253369272237197,20,0.07874015748031496,10,0.10309278350515465,331,0.09892408846383742
2016,Felony,Sentences,Time Served,36,0.02382528127068167,84,0.056603773584905655,8,0.031496062992125984,8,0.0824742268041237,136,0.04064554692169755
2016,Felony,Sentences,Jail+Probation,88,0.05823957643944408,45,0.03032345013477089,9,0.03543307086614173,4,0.04123711340206185,146,0.04363419007770473
2016,Felony,Sentences,Probation,314,0.20780939774983456,233,0.15700808625336926,39,0.15354330708661418,14,0.1443298969072165,600,0.17931858936043035
2016,Felony,Sentences,Fine,48,0.03176704169424222,5,0.0033692722371967652,4,0.015748031496062992,5,0.051546391752577324,62,0.018529587567244474
2016,Felony,Sentences,Cond Discharge,284,0.18795499669093318,230,0.15498652291105122,34,0.13385826771653542,16,0.1649484536082474,564,0.16855947399880453
2016,Felony,Sentences,Other/Unknown,2,0.0013236267372600927,0,0,1,0.003937007874015748,0,0,3,8.965929468021517e-4
2016,Violent Felony,Overall,Total Dispositions,312,1,422,1,67,1,28,1,829,1
2016,Violent Felony,Overall,Convicted-Sentenced,214,0.6858974358974359,293,0.6943127962085307,43,0.6417910447761195,19,0.6785714285714286,569,0.6863691194209892
2016,Violent Felony,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2016,Violent Felony,Overall,Covered by Another Case,34,0.10897435897435898,26,0.061611374407582936,3,0.04477611940298507,2,0.07142857142857144,65,0.07840772014475271
2016,Violent Felony,Overall,Dismissed-ACD,33,0.10576923076923077,31,0.07345971563981042,6,0.08955223880597014,5,0.17857142857142858,75,0.09047044632086852
2016,Violent Felony,Overall,Dismissed-Not ACD,26,0.08333333333333334,59,0.13981042654028436,13,0.19402985074626866,2,0.07142857142857144,100,0.12062726176115803
2016,Violent Felony,Overall,Acquitted,2,0.006410256410256411,8,0.018957345971563982,1,0.01492537313432836,0,0,11,0.013268998793727383
2016,Violent Felony,Overall,DA Declined to Prosecute,0,0,0,0,0,0,0,0,0,0
2016,Violent Felony,Overall,Other,3,0.009615384615384616,5,0.011848341232227489,1,0.01492537313432836,0,0,9,0.010856453558504222
2016,Violent Felony,Adult Non-YO Convictions,Felonies,97,0.3108974358974359,114,0.27014218009478674,20,0.2985074626865672,10,0.35714285714285715,241,0.2907117008443908
2016,Violent Felony,Adult Non-YO Convictions,Misdemeanors,77,0.24679487179487178,92,0.21800947867298578,12,0.1791044776119403,5,0.17857142857142858,186,0.22436670687575394
2016,Violent Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,23,0.07371794871794872,31,0.07345971563981042,5,0.0746268656716418,2,0.07142857142857144,61,0.0735826296743064
2016,Violent Felony,Youthful Offender Adjudications,Felonies,10,0.032051282051282055,43,0.1018957345971564,4,0.05970149253731344,2,0.07142857142857144,59,0.07117008443908324
2016,Violent Felony,Youthful Offender Adjudications,Misdemeanors,7,0.022435897435897436,13,0.030805687203791468,2,0.02985074626865672,0,0,22,0.026537997587454766
2016,Violent Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2016,Violent Felony,Sentences,Prison,68,0.21794871794871795,96,0.2274881516587678,20,0.2985074626865672,6,0.21428571428571427,190,0.22919179734620024
2016,Violent Felony,Sentences,Jail,18,0.05769230769230769,39,0.0924170616113744,3,0.04477611940298507,3,0.10714285714285714,63,0.07599517490952955
2016,Violent Felony,Sentences,Time Served,9,0.028846153846153844,21,0.04976303317535545,1,0.01492537313432836,2,0.07142857142857144,33,0.039806996381182146
2016,Violent Felony,Sentences,Jail+Probation,19,0.060897435897435896,17,0.04028436018957346,1,0.01492537313432836,3,0.10714285714285714,40,0.04825090470446321
2016,Violent Felony,Sentences,Probation,50,0.16025641025641024,60,0.14218009478672985,8,0.11940298507462688,1,0.03571428571428572,119,0.14354644149577805
2016,Violent Felony,Sentences,Fine,3,0.009615384615384616,0,0,1,0.01492537313432836,0,0,4,0.004825090470446321
2016,Violent Felony,Sentences,Cond Discharge,47,0.15064102564102563,60,0.14218009478672985,9,0.13432835820895522,4,0.14285714285714288,120,0.14475271411338964
2016,Violent Felony,Sentences,Other/Unknown,0,0,0,0,0,0,0,0,0,0
2016,Drug Felony,Overall,Total Dispositions,155,1,307,1,71,1,3,1,536,1
2016,Drug Felony,Overall,Convicted-Sentenced,85,0.5483870967741935,204,0.6644951140065146,52,0.732394366197183,NA,NA,344,0.6417910447761195
2016,Drug Felony,Overall,Diverted and Dismissed,2,0.012903225806451613,0,0,0,0,NA,NA,2,0.00373134328358209
2016,Drug Felony,Overall,Covered by Another Case,17,0.1096774193548387,28,0.09120521172638436,4,0.05633802816901408,NA,NA,49,0.09141791044776121
2016,Drug Felony,Overall,Dismissed-ACD,36,0.23225806451612904,20,0.06514657980456026,6,0.08450704225352113,NA,NA,62,0.11567164179104478
2016,Drug Felony,Overall,Dismissed-Not ACD,13,0.08387096774193548,47,0.1530944625407166,9,0.1267605633802817,NA,NA,69,0.12873134328358207
2016,Drug Felony,Overall,Acquitted,0,0,0,0,0,0,NA,NA,0,0
2016,Drug Felony,Overall,DA Declined to Prosecute,0,0,0,0,0,0,NA,NA,0,0
2016,Drug Felony,Overall,Other,2,0.012903225806451613,8,0.026058631921824102,0,0,NA,NA,10,0.01865671641791045
2016,Drug Felony,Adult Non-YO Convictions,Felonies,33,0.2129032258064516,126,0.41042345276872966,40,0.5633802816901409,NA,NA,202,0.376865671641791
2016,Drug Felony,Adult Non-YO Convictions,Misdemeanors,45,0.29032258064516125,65,0.21172638436482086,10,0.14084507042253522,NA,NA,120,0.22388059701492538
2016,Drug Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,5,0.03225806451612903,3,0.009771986970684038,0,0,NA,NA,8,0.01492537313432836
2016,Drug Felony,Youthful Offender Adjudications,Felonies,1,0.0064516129032258064,7,0.02280130293159609,2,0.02816901408450704,NA,NA,10,0.01865671641791045
2016,Drug Felony,Youthful Offender Adjudications,Misdemeanors,1,0.0064516129032258064,3,0.009771986970684038,0,0,NA,NA,4,0.00746268656716418
2016,Drug Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,NA,NA,0,0
2016,Drug Felony,Sentences,Prison,13,0.08387096774193548,87,0.28338762214983715,27,0.38028169014084506,NA,NA,129,0.24067164179104478
2016,Drug Felony,Sentences,Jail,10,0.06451612903225806,22,0.07166123778501628,4,0.05633802816901408,NA,NA,36,0.06716417910447761
2016,Drug Felony,Sentences,Time Served,4,0.025806451612903226,25,0.08143322475570032,2,0.02816901408450704,NA,NA,31,0.05783582089552239
2016,Drug Felony,Sentences,Jail+Probation,4,0.025806451612903226,5,0.016286644951140065,4,0.05633802816901408,NA,NA,14,0.02611940298507463
2016,Drug Felony,Sentences,Probation,27,0.17419354838709677,38,0.1237785016286645,8,0.11267605633802816,NA,NA,73,0.13619402985074627
2016,Drug Felony,Sentences,Fine,2,0.012903225806451613,0,0,0,0,NA,NA,2,0.00373134328358209
2016,Drug Felony,Sentences,Cond Discharge,25,0.16129032258064516,27,0.08794788273615635,7,0.09859154929577464,NA,NA,59,0.11007462686567164
2016,Drug Felony,Sentences,Other/Unknown,0,0,0,0,0,0,NA,NA,0,0
2016,Misdemeanor,Overall,Total Dispositions,3981,1,2761,1,340,1,196,1,7278,1
2016,Misdemeanor,Overall,Convicted-Sentenced,2305,0.5790002511931676,1537,0.5566823614632379,183,0.538235294117647,101,0.5153061224489796,4126,0.5669139873591645
2016,Misdemeanor,Overall,Diverted and Dismissed,71,0.017834714895754836,16,0.005795001810938066,0,0,0,0,87,0.01195383347073372
2016,Misdemeanor,Overall,Covered by Another Case,433,0.10876664154734991,332,0.12024628757696487,33,0.09705882352941175,17,0.08673469387755102,815,0.11198131354767794
2016,Misdemeanor,Overall,Dismissed-ACD,845,0.21225822657623714,551,0.19956537486417963,92,0.27058823529411763,52,0.2653061224489796,1540,0.21159659247045892
2016,Misdemeanor,Overall,Dismissed-Not ACD,261,0.06556141672946496,297,0.10756972111553784,31,0.09117647058823529,25,0.12755102040816327,614,0.08436383621874141
2016,Misdemeanor,Overall,Acquitted,2,5.023863350916855e-4,1,3.621876131836291e-4,1,0.0029411764705882353,0,0,4,5.496015388843089e-4
2016,Misdemeanor,Overall,DA Declined to Prosecute,1,2.5119316754584274e-4,2,7.243752263672582e-4,0,0,0,0,3,4.1220115416323167e-4
2016,Misdemeanor,Overall,Other,63,0.015825169555388093,25,0.009054690329590727,0,0,1,0.005102040816326531,89,0.012228634240175873
2016,Misdemeanor,Adult Non-YO Convictions,Felonies,11,0.0027631248430042706,8,0.002897500905469033,1,0.0029411764705882353,2,0.010204081632653062,22,0.003022808463863699
2016,Misdemeanor,Adult Non-YO Convictions,Misdemeanors,1299,0.32629992464204977,964,0.34914885910901844,110,0.32352941176470584,49,0.25,2422,0.33278373179444903
2016,Misdemeanor,Adult Non-YO Convictions,Non-Criminal/Unknown,952,0.23913589550364228,476,0.17240130387540745,63,0.18529411764705883,43,0.2193877551020408,1534,0.21077219016213244
2016,Misdemeanor,Youthful Offender Adjudications,Felonies,0,0,0,0,0,0,0,0,0,0
2016,Misdemeanor,Youthful Offender Adjudications,Misdemeanors,41,0.010298919869379553,89,0.03223469757334299,8,0.023529411764705882,7,0.03571428571428572,145,0.019923055784556196
2016,Misdemeanor,Youthful Offender Adjudications,Unknown,2,5.023863350916855e-4,0,0,1,0.0029411764705882353,0,0,3,4.1220115416323167e-4
2016,Misdemeanor,Sentences,Prison,4,0.001004772670183371,1,3.621876131836291e-4,0,0,1,0.005102040816326531,6,8.244023083264633e-4
2016,Misdemeanor,Sentences,Jail,226,0.056769655865360466,209,0.07569721115537849,27,0.07941176470588235,12,0.061224489795918366,474,0.0651277823577906
2016,Misdemeanor,Sentences,Time Served,107,0.026877668927405174,190,0.06881564650488953,17,0.05,8,0.04081632653061225,322,0.04424292388018687
2016,Misdemeanor,Sentences,Jail+Probation,34,0.008540567696558653,22,0.00796812749003984,1,0.0029411764705882353,1,0.005102040816326531,58,0.007969222313822478
2016,Misdemeanor,Sentences,Probation,423,0.10625470987189148,269,0.09742846794639623,27,0.07941176470588235,19,0.09693877551020408,738,0.10140148392415499
2016,Misdemeanor,Sentences,Fine,789,0.19819140919366995,137,0.04961970300615719,25,0.07352941176470588,32,0.163265306122449,983,0.1350645781808189
2016,Misdemeanor,Sentences,Cond Discharge,718,0.18035669429791512,704,0.2549800796812749,86,0.2529411764705882,28,0.14285714285714288,1536,0.2110469909315746
2016,Misdemeanor,Sentences,Other/Unknown,4,0.001004772670183371,5,0.0018109380659181457,0,0,0,0,9,0.001236603462489695
2017,Felony,Overall,Total Dispositions,1573,1,1667,1,189,1,82,1,3511,1
2017,Felony,Overall,Convicted-Sentenced,1049,0.6668785759694851,1123,0.6736652669466107,137,0.7248677248677248,57,0.6951219512195123,2366,0.6738820848761037
2017,Felony,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2017,Felony,Overall,Covered by Another Case,256,0.16274634456452639,164,0.09838032393521295,16,0.08465608465608465,8,0.0975609756097561,444,0.12645969809171176
2017,Felony,Overall,Dismissed-ACD,143,0.09090909090909091,124,0.07438512297540492,18,0.09523809523809523,8,0.0975609756097561,293,0.08345200797493592
2017,Felony,Overall,Dismissed-Not ACD,107,0.06802288620470438,220,0.13197360527894422,16,0.08465608465608465,5,0.06097560975609756,348,0.09911706066647678
2017,Felony,Overall,Acquitted,5,0.003178639542275906,17,0.010197960407918417,2,0.010582010582010581,3,0.03658536585365854,27,0.007690116775847336
2017,Felony,Overall,DA Declined to Prosecute,0,0,1,5.998800239952009e-4,0,0,0,0,1,2.848191398461977e-4
2017,Felony,Overall,Other,13,0.008264462809917356,18,0.010797840431913617,0,0,1,0.012195121951219513,32,0.009114212475078326
2017,Felony,Adult Non-YO Convictions,Felonies,410,0.2606484424666243,470,0.2819436112777445,66,0.3492063492063492,20,0.24390243902439024,966,0.2751352890914269
2017,Felony,Adult Non-YO Convictions,Misdemeanors,490,0.31150667514303876,479,0.28734253149370126,56,0.2962962962962963,25,0.3048780487804878,1050,0.29906009683850754
2017,Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,111,0.07056579783852511,107,0.06418716256748651,10,0.052910052910052914,7,0.08536585365853659,235,0.06693249786385645
2017,Felony,Youthful Offender Adjudications,Felonies,18,0.011443102352193263,37,0.022195560887822437,4,0.021164021164021163,4,0.04878048780487805,63,0.017943605810310452
2017,Felony,Youthful Offender Adjudications,Misdemeanors,20,0.012714558169103624,30,0.017996400719856028,1,0.005291005291005291,1,0.012195121951219513,52,0.014810595272002278
2017,Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2017,Felony,Sentences,Prison,180,0.11443102352193261,295,0.17696460707858427,38,0.20105820105820105,8,0.0975609756097561,521,0.148390771859869
2017,Felony,Sentences,Jail,131,0.08328035600762874,166,0.09958008398320337,23,0.12169312169312169,8,0.0975609756097561,328,0.09342067786955283
2017,Felony,Sentences,Time Served,32,0.020343293070565798,69,0.041391721655668866,8,0.042328042328042326,3,0.03658536585365854,112,0.03189974366277414
2017,Felony,Sentences,Jail+Probation,87,0.05530832803560076,54,0.03239352129574085,6,0.031746031746031744,7,0.08536585365853659,154,0.04386214753631444
2017,Felony,Sentences,Probation,310,0.19707565162110616,258,0.15476904619076184,29,0.15343915343915343,15,0.18292682926829268,612,0.17430931358587298
2017,Felony,Sentences,Fine,56,0.03560076287349015,16,0.009598080383923215,5,0.026455026455026457,1,0.012195121951219513,78,0.02221589290800342
2017,Felony,Sentences,Cond Discharge,250,0.1589319771137953,262,0.15716856628674264,28,0.14814814814814814,15,0.18292682926829268,555,0.1580746226146397
2017,Felony,Sentences,Other/Unknown,3,0.0019071837253655435,3,0.001799640071985603,0,0,0,0,6,0.001708914839077186
2017,Violent Felony,Overall,Total Dispositions,352,1,529,1,42,1,19,1,942,1
2017,Violent Felony,Overall,Convicted-Sentenced,213,0.6051136363636364,350,0.6616257088846881,36,0.8571428571428571,12,0.631578947368421,611,0.6486199575371551
2017,Violent Felony,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2017,Violent Felony,Overall,Covered by Another Case,84,0.23863636363636365,50,0.0945179584120983,0,0,0,0,134,0.14225053078556263
2017,Violent Felony,Overall,Dismissed-ACD,28,0.07954545454545454,36,0.06805293005671077,3,0.07142857142857144,3,0.15789473684210525,70,0.07430997876857749
2017,Violent Felony,Overall,Dismissed-Not ACD,22,0.0625,74,0.13988657844990549,2,0.047619047619047616,3,0.15789473684210525,101,0.10721868365180467
2017,Violent Felony,Overall,Acquitted,3,0.008522727272727272,11,0.020793950850661623,1,0.023809523809523808,1,0.052631578947368425,16,0.016985138004246284
2017,Violent Felony,Overall,DA Declined to Prosecute,0,0,0,0,0,0,0,0,0,0
2017,Violent Felony,Overall,Other,2,0.005681818181818182,8,0.015122873345935728,0,0,0,0,10,0.010615711252653927
2017,Violent Felony,Adult Non-YO Convictions,Felonies,107,0.3039772727272727,156,0.2948960302457467,18,0.42857142857142855,4,0.2105263157894737,285,0.302547770700637
2017,Violent Felony,Adult Non-YO Convictions,Misdemeanors,65,0.1846590909090909,124,0.23440453686200377,16,0.38095238095238093,5,0.2631578947368421,210,0.2229299363057325
2017,Violent Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,21,0.05965909090909091,32,0.06049149338374291,0,0,1,0.052631578947368425,54,0.057324840764331204
2017,Violent Felony,Youthful Offender Adjudications,Felonies,12,0.03409090909090909,32,0.06049149338374291,2,0.047619047619047616,2,0.10526315789473685,48,0.05095541401273885
2017,Violent Felony,Youthful Offender Adjudications,Misdemeanors,8,0.022727272727272728,6,0.011342155009451795,0,0,0,0,14,0.014861995753715497
2017,Violent Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2017,Violent Felony,Sentences,Prison,73,0.20738636363636365,119,0.22495274102079396,15,0.35714285714285715,3,0.15789473684210525,210,0.2229299363057325
2017,Violent Felony,Sentences,Jail,17,0.048295454545454544,41,0.07750472589792061,5,0.11904761904761905,1,0.052631578947368425,64,0.06794055201698514
2017,Violent Felony,Sentences,Time Served,6,0.017045454545454544,19,0.035916824196597356,2,0.047619047619047616,2,0.10526315789473685,29,0.030785562632696394
2017,Violent Felony,Sentences,Jail+Probation,17,0.048295454545454544,23,0.043478260869565216,2,0.047619047619047616,1,0.052631578947368425,43,0.04564755838641189
2017,Violent Felony,Sentences,Probation,49,0.13920454545454544,79,0.1493383742911153,9,0.21428571428571427,5,0.2631578947368421,142,0.15074309978768577
